Blog	two	than	our	other	many	would	today	don	last	back	way	day	world	work	also	see	post	them	any	while	because	video	only	good	know	want	best	well	need	three	use	could	too	long	read	those	should	made	down	google	week	then	something	these	may	show	right	going	said	off	take	since	every	much	being	still	using	before	through	help	look	game	say	why	live	think	where	big	days	might	around	says	really	both	news	she	between	her	top	full	another	very	doesn	few	thing	things	does	better	did	story	keep	great	find	next	case	life	real	same	got	found	part	own	old	free	internet	home	without	app	always	number	high	used	end	open	man	getting	web	users	sure	data	let	change	during	different	already	city	page	ever	come	called	didn	enough	available	play	set	media	put	site	based	against	little	ago	finally	blog	working	company	including	times	future	hard	report	online	him	music	technology	away	almost	yet	team	information	com	isn	though	such	power	social	less	twitter	left	small	past	makes	start	across	again	version	million	shows	months	add	second	easy	five	business	actually	making	bit	photos	night	month	interesting	each	recent	space	nbsp	search	several	lot	done	single	once	doing	early	probably	state	phone	view	problem	coming	however	love	line	comes	won	never	give	everyone	create	design	gets	series	project	support	system	fact	means	car	family	latest	talk	money	public	taking	under	watch	told	youtube	went	must	far	book	experience	sometimes	america	point	list	call	link	email	security	buy	four	photo	step	within	website	simple	place	check	feel	instead	quite	via	mobile	facebook	control	build	itself	thought	hit	service	thanks	american	tuesday	source	released	comments	trying	user	run	black	idea	looking	seen	everything	seems	until	side	major	content	house	season	windows	become	product	images	rather	microsoft	name	image	science	bad	together	click	digital	reading	according	videos	center	took	someone	try	soon	ready	started	friends	features	important	least	games	given	able	group	share	ios	art	wednesday	process	likely	save	services	store	kind	earlier	obama	half	pretty	download	written	companies	behind	head	program	woman	example	continue	having	created	war	care	price	taken	believe	simply	release	network	morning	running	often	women	york	november	couple	stuff	apparently	update	links	special	party	needs	access	holiday	local	press	president	current	whole	community	stop	national	health	apps	feature	came	country	inside	screen	death	launched	takes	either	iphone	six	offer	along	note	weeks	favorite	complete	thinking	exactly	please	others	looks	writing	george	white	percent	lead	wants	worth	john	hand	close	amp	third	deal	among	later	school	goes	short	job	possible	states	results	street	official	near	software	designed	question	starting	red	recently	issues	devices	drive	large	android	government	interview	low	washington	anyone	shot	outside	nothing	class	whether	below	player	course	tools	word	law	dead	event	front	computer	text	longer	apple	words	saying	bottom	learn	test	drop	similar	lost	else	numbers	platform	nice	include	wasn	happy	developers	original	david	article	products	tell	maybe	understand	works	talking	color	face	announced	items	standard	terms	browser	launch	potential	general	fans	account
Mashable	4	8	5	6	4	2	2	2	1	3	4	4	22	3	26	20	2	5	1	5	1	8	3	1	3	0	1	1	3	2	5	1	1	1	32	5	1	1	1	25	2	1	2	3	4	1	4	0	10	6	2	3	5	2	3	5	4	1	4	4	3	9	1	1	3	0	7	3	0	1	1	3	2	0	3	5	0	8	2	3	3	2	3	2	4	3	2	3	2	3	1	0	3	1	4	3	2	4	3	1	0	1	1	3	12	1	0	7	0	2	8	2	1	1	8	1	4	6	1	3	2	5	4	3	3	2	1	2	2	6	2	3	1	2	0	4	1	0	5	6	0	2	1	2	2	12	2	3	1	2	2	4	3	7	4	1	2	1	2	1	3	1	2	1	3	3	1	4	0	0	1	0	0	1	0	1	3	2	2	2	2	0	2	5	1	0	0	2	6	0	0	1	1	17	0	1	2	0	0	2	0	0	0	1	0	9	0	0	0	0	1	1	2	1	1	1	1	0	1	0	3	5	0	0	1	3	2	0	0	0	7	1	1	1	1	3	2	1	1	1	0	0	1	1	0	1	1	4	0	0	0	1	2	0	0	0	0	5	0	2	1	0	1	9	1	2	2	2	0	2	0	1	2	6	0	1	2	4	1	1	0	0	0	0	0	1	1	1	0	1	2	2	5	1	4	1	0	4	0	3	6	0	4	0	4	1	1	9	2	3	0	0	0	1	1	2	0	0	0	6	0	1	0	5	2	0	10	1	0	0	0	5	0	0	8	0	0	0	1	1	1	1	2	1	1	0	0	1	0	0	0	1	0	1	0	3	0	2	0	3	2	2	0	0	0	1	0	0	2	0	6	5	1	1	3	1	1	1	4	2	0	7	1	0	2	3	1	4	1	1	0	6	2	2	2	0	0	3	1	1	1	1	3	0	0	2	1	0	0	0	0	0	0	0	0	1	0	2	1	2	2	1	0	0	0	0	2	0	0	5	0	1	1	1	2	0	1	0	0	2	1	3	0	0	1	0	1	3	0	1	2	0	2	0	0	0	1	1	0	0	0	1	1	2	2	0	0	0	1	2	0	0	0	2	0	1	0	2	0	0	1	0	4	1	0	0	1	0	0	2	3	2	0	1	0	2	2	1	4	3
Michelle Malkin	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wired Top Stories	1	4	0	2	2	1	1	1	2	0	3	1	5	0	0	0	0	1	1	0	1	0	2	1	0	2	2	2	3	0	0	1	2	1	1	2	0	1	0	5	2	0	1	0	2	7	0	2	0	2	0	1	2	1	0	0	0	0	0	1	2	5	2	0	0	0	3	1	1	1	2	0	1	0	3	0	2	0	0	2	1	0	0	1	2	1	0	1	1	0	0	0	0	2	2	1	0	0	0	0	0	1	1	0	1	0	1	4	1	0	1	1	1	0	1	1	1	0	1	2	0	0	0	0	1	0	0	2	1	3	0	0	1	0	1	0	0	2	1	1	0	1	3	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	2	100	0	0	1	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	2	2	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	3	2	0	1	1	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	2	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bloggers Blog	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	30	0	0	0	1	1	0	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	18	0	0	0	0	1	4	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SimpleBits	0	1	0	0	1	2	3	0	1	1	2	1	0	2	0	0	0	0	0	0	2	1	0	0	0	0	3	1	1	0	1	1	0	1	1	1	0	2	1	0	0	1	1	2	0	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ShoeMoney	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	7	3	4	10	5	9	5	7	6	3	1	0	2	9	2	7	3	4	3	7	5	4	4	2	0	3	2	1	2	2	9	3	0	2	25	1	3	5	3	5	1	5	1	5	4	0	0	3	5	2	2	3	1	1	1	1	8	1	5	1	2	4	1	1	3	3	5	0	1	0	3	1	1	2	2	0	2	0	1	2	3	2	1	2	1	5	0	2	2	26	1	3	1	1	2	0	0	0	0	2	3	4	5	1	5	0	3	2	0	3	0	3	2	7	0	2	2	6	0	7	0	3	2	4	3	2	4	1	4	1	2	0	2	1	3	2	2	1	8	5	1	2	1	0	2	5	2	0	0	0	0	5	1	2	7	0	0	2	4	4	3	0	1	5	4	8	4	0	1	0	2	0	1	0	1	3	9	0	1	1	0	0	1	2	0	0	2	3	0	2	1	1	1	1	0	0	2	4	0	1	0	2	1	0	0	1	0	2	1	1	0	3	0	1	1	1	0	2	1	1	1	9	2	5	1	0	1	2	3	1	1	3	1	1	0	3	0	2	0	1	0	0	2	1	5	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	4	1	2	1	3	0	0	3	0	0	0	2	1	2	2	2	3	5	0	1	0	0	1	0	1	2	2	0	1	1	1	1	0	1	2	4	0	4	0	0	2	0	1	1	2	1	3	0	0	0	3	2	2	3	0	2	1	2	1	2	1	1	3	0	0	1	1	2	0	0	5	1	1	2	0	0	1	4	0	5	3	1	3	0	3	0	0	3	0	0	0	0	0	0	5	2	0	0	1	1	0	0	0	1	2	1	0	0	0	1	0	0	0	1	0	1	2	6	1	2	1	2	0	2	1	0	0	0	3	2	1	0	0	1	3	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	2	0	0	1	2	1	0	1	1	1	1	0	0	2	1	0	1	0	1	7	2	2	1	0	1	2	1	1	2	1	1	2	0	2	1	0	1	0	0	0	1	2	1	1	0	1	1	1	0	3	0	2	5	0	1	0	0	2	0	0	1	0	2	1	0	0	0	1	0	0	7	4	0	1	1	0	1	0	0	0	2	0	3	3	0	0	1	0	0	0
Gothamist	2	3	1	2	1	0	6	3	6	0	0	4	1	0	1	1	0	0	2	2	2	4	1	2	0	2	2	1	0	2	0	0	3	3	0	3	0	0	1	0	2	0	1	2	1	1	0	1	0	2	1	1	0	2	3	0	0	1	2	1	2	3	4	1	0	0	0	1	0	1	3	3	0	0	3	3	1	1	1	2	1	0	5	1	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	2	1	3	1	1	0	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	5	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	1	2	0	1	0	0	0	1	0	0	0	0	2	1	0	1	0	2	1	0	1	0	0	1	1	2	0	2	1	1	0	0	0	0	1	0	1	0	3	7	2	0	0	1	0	100	0	1	1	0	0	1	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	1	0	0	0	0	1	0	1	0	3	0	3	1	0	0	1	4	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	3	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Instapundit	1	3	4	1	3	2	8	5	2	13	2	0	3	2	4	1	0	1	2	0	4	6	2	2	0	1	2	0	2	0	0	1	3	1	2	0	0	0	1	0	0	0	3	0	3	0	0	1	2	4	0	1	0	1	0	5	0	0	0	0	0	1	0	5	0	3	0	3	2	1	0	4	0	1	1	0	2	0	1	0	0	2	2	0	0	0	0	0	0	3	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	1	1	0	1	1	0	0	0	0	0	0	4	0	3	0	0	1	1	0	0	0	3	2	0	2	2	5	2	6	0	0	2	2	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	3	1	0	0	0	2	0	0	5	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	1	0	0	3	2	1	0	5	2	0	1	0	0	5	0	0	2	0	1	2	0	2	0	2	1	3	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	2	1	0	1	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	3	1	0	0	1	0	1	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	16	1	0	0	0	1	0	1	0	3	0	0	1	0	2	0	0	3	2	0	0	0	0	2	0	2	0	0	0	2	0	6	2	1	3	0	0	1	0	0	5	0	1	4	0	2	0	0	0	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	2	0	0	0	0	0	4	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BuzzMachine	0	1	1	2	0	2	2	0	1	1	0	3	0	2	0	2	6	1	0	2	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	7	1	1	0	0	0	2	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	0	5	1	0	2	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Virginian-Pilot	1	1	0	1	0	1	1	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	1	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	1	1	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ongoing by Tim Bray	0	1	3	2	2	0	1	1	0	1	1	1	1	3	0	1	0	0	2	0	1	0	1	0	0	1	0	1	2	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	0	0	1	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
